,frame_rate,time_stamp
0,0,19:00:19
1,0,19:00:20
2,52,19:00:20
3,42,19:00:21
4,43,19:00:21
5,44,19:00:22
6,36,19:00:22
7,42,19:00:23
8,44,19:00:23
9,42,19:00:24
10,43,19:00:24
11,43,19:00:24
12,42,19:00:25
13,44,19:00:25
14,42,19:00:26
15,44,19:00:26
16,42,19:00:27
17,44,19:00:27
18,43,19:00:28
19,43,19:00:28
20,44,19:00:29
21,43,19:00:29
22,44,19:00:30
23,42,19:00:30
24,44,19:00:30
25,42,19:00:31
26,44,19:00:31
27,42,19:00:32
28,43,19:00:32
29,44,19:00:33
30,42,19:00:33
31,44,19:00:34
32,43,19:00:34
33,42,19:00:35
34,44,19:00:35
35,43,19:00:36
36,44,19:00:36
37,42,19:00:37
38,44,19:00:37
39,43,19:00:37
40,44,19:00:38
41,42,19:00:38
42,44,19:00:39
43,43,19:00:39
44,43,19:00:40
45,44,19:00:40
46,43,19:00:41
47,41,19:00:41
48,45,19:00:42
